"Name";"Value";"Package";"Notes";"Ref Number"
"C1";"1000uF";"CPOL-RADIAL-1000UF-25V";"Capacitor Polarized";""
"C2";".1uF";"0603-CAP";"Capacitor";"CAPACITOR-GENERIC"
"C3";"10uF";"0805";"Capacitor";"CAPACITOR-GENERIC"
"C4";".1uF";"0603-CAP";"Capacitor";"CAPACITOR-GENERIC"
"C5";"10uF";"0805";"Capacitor";"CAPACITOR-GENERIC"
"JP2";"";"1X02";"2-pin 0.1-inch header and MTA connector";"BULK-STOCK"
"JP3";"";"1X06";"PIN HEADER";""
"Q1";"IRLIB9343PBF-ND ";"TO220";"P-Channel Enhancement MOSFET (HEXFET); -100V; -12A; 0,3Ohm";""
"R1";"10K";"R0603";"RESISTOR, American symbol";""
"R2";"10K";"R0603";"RESISTOR, American symbol";""
"R3";"10K";"R0603";"RESISTOR, American symbol";""
"R4";"10K";"R0603";"RESISTOR, American symbol";""
"R5";"10K";"R0603";"RESISTOR, American symbol";""
"R6";"10K";"R0603";"RESISTOR, American symbol";""
"R7";"10K";"R0603";"RESISTOR, American symbol";""
"R8";"115k";"R0603";"RESISTOR, American symbol";""
"R9";"10K";"R0603";"RESISTOR, American symbol";""
"S1";"";"TACTILE-PTH";"Momentary Switch";"pth_pushbutton"
"S2";"";"TACTILE-PTH";"Momentary Switch";"pth_pushbutton"
"S3";"";"TACTILE-PTH";"Momentary Switch";"pth_pushbutton"
"S4";"";"TACTILE-PTH";"Momentary Switch";"pth_pushbutton"
"ST1";"2PIN_SCREW";"2PIN_SCREW";"2 Pin Screw Terminal";""
"ST2";"2PIN_SCREW";"2PIN_SCREW";"2 Pin Screw Terminal";""
"S_PWR";"SPDT_TOGGLE_SWITCH";"E-SWITCH-SPDT";"Toggle Switch SPDT Panel Mount";""
"U1";"POLOLU_D24V22F5";"POLOLU_D24V22F5";"";""
"U2";"TPS3710";"SOT6";"TI Low Voltage monitoring chip.";""
"U3";"MCP4725";"SOT23-6";"Microchip 12-bit I2C DAC, SOT23-6";""
"U4";"MCP4725";"SOT23-6";"Microchip 12-bit I2C DAC, SOT23-6";""
"U5";"MCP6002";"DIL08";"Single Op Amp 2.7V to 6.0V Single Supply CMOS";""
"UC1";"ARDUINO_PRO_MICRO";"ARDUINO_PRO_MICRO";"Arduino Pro Micro";""
"USB1";"USB-OTGMICRO-AB";"USB-MICRO-AB";"USB Connector";"USB"
